Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
Projeteur Piping,Capgemini Engineering,Casablanca,Energie,CDI,Bac+5,3 à 5 ans,"Modélisation, ERP",Anglais,"Communication, Autonomie, Rigueur, Organisation, Créativité, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-projeteur-piping-recrutement-capgemini-engineering-casablanca-184320.html,4.0
Responsable SAV,Auto Hall,Casablanca,"Automobile, Motos, Cycles",CDI,Bac+5,1 à 3 ans,Excel,Non spécifié,"Travail en équipe, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-recrutement-auto-hall-casablanca-184310.html,2.0
Ingénieur Installation Générale Senior,Capgemini Engineering,Casablanca,"Construction, Génie Civil",CDI,Bac+5,3 à 5 ans,ERP,Anglais,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Créativité, Innovation, Initiative, Sens de l'organisation, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-installation-generale-senior-recrutement-capgemini-engineering-casablanca-184305.html,4.0
Directeur Technique,Confidentiel,Marrakech,"Hôtellerie, Restauration",CDI,Bac+5,5 à 10 ans,Non spécifié,"Français, Anglais, Arabe","Travail en équipe, Rigueur, Organisation, Leadership, Flexibilité, Réactivité",https://www.rekrute.com/fr/offre-emploi-directeur-technique-recrutement-confidentiel-marrakech-184275.html,7.5
Responsable Maintenance,Sedec,Témara,"Construction, Génie Civil",CDI,Bac+5,5 à 10 ans,"GMAO, Automatisme",Non spécifié,"Organisation, Leadership, Gestion de projet, Innovation, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-sedec-temara-184227.html,7.5
Facility Manager,Manpower Agences,Casablanca,Non spécifié,Intérim,Bac+5,5 à 10 ans,Excel,"Français, Anglais","Communication, Rigueur, Organisation, Leadership, Gestion de projet, Innovation, Résolution de problèmes, Adaptabilité, Relationnel",https://www.rekrute.com/fr/offre-emploi-facility-manager-recrutement-manpower-agences-casablanca-184150.html,7.5
Technicien centrale chaufferie,Confidentiel,Casablanca,Agroalimentaire,Non spécifié,Bac+2,0 an,Automatisme,Non spécifié,Non spécifié,https://www.rekrute.com/fr/offre-emploi-technicien-centrale-chaufferie-recrutement-confidentiel-casablanca-184064.html,0.0
Préparateur Maintenance – Maintenance Fixe,Aya Gold & Silver,Taliouine,"Extraction, Minier",CDI,Bac+2,3 à 5 ans,"GMAO, ERP, Excel","Français, Anglais","Rigueur, Organisation, Relationnel",https://www.rekrute.com/fr/offre-emploi-preparateur-maintenance-maintenance-fixe-recrutement-aya-gold-silver-taliouine--askaoune-184055.html,4.0
Technicien(ne) supérieur(e) - Secteur Hydraulique/Energétique,Manpower Agences,Casablanca,Energie,Non spécifié,Bac+3,1 à 3 ans,"ERP, Excel","Français, Anglais","Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-technicienne-superieure---secteur-hydrauliqueenergetique-recrutement-manpower-agences-casablanca-183630.html,2.0
Technicien de Fabrication,Cosumar,Kénitra,Agroalimentaire,Non spécifié,Bac+3,0 an,Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-de-fabrication-recrutement-cosumar-kenitra-184011.html,0.0
Dessinateur projeteur,Confidentiel,Casablanca,"Conseil, Etudes",CDI,Bac+2,1 à 3 ans,ERP,Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Leadership, Innovation, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-dessinateur-projeteur-recrutement-confidentiel-casablanca-184009.html,2.0
Responsable Service (H/F),CAC (Centrale Automobile Chérifienne),Casablanca,"Automobile, Motos, Cycles",CDI,Bac+5,5 à 10 ans,Non spécifié,Non spécifié,"Communication, Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-responsable-service-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-183976.html,7.5
Responsable Maintenance des Engins,Meski Invest - Riva Industries,El jadida,"Métallurgie, Sidérurgie",CDI,Bac+5,5 à 10 ans,"GMAO, AMDEC, 5S",Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Leadership, Innovation, Résolution de problèmes",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-des-engins-recrutement-meski-invest---riva-industries-el-jadida-183966.html,7.5
Business Analyst,Domino HR Morocco,Casablanca,"Aéronautique, Spatial",CDI,Bac+5,5 à 10 ans,Excel,"Français, Anglais","Communication, Autonomie, Organisation, Gestion de projet, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-business-analyst-recrutement-domino-hr-morocco-casablanca-183871.html,7.5
Gestionnaire Technique,Atlas Multiservices,Casablanca,Non spécifié,CDI,Bac+3,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Organisation",https://www.rekrute.com/fr/offre-emploi-gestionnaire-technique-recrutement-atlas-multiservices-casablanca-183833.html,4.0
Leader Maintenance Générale,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac+5,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, Créativité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-leader-maintenance-generale-recrutement-confidentiel-casablanca-183758.html,4.0
Ingénieur Méthodes,HUIR - L'Hôpital Universitaire International de Rabat,Rabat,"Pharmacie, Santé",CDI,Bac+5,1 à 3 ans,"GMAO, Excel",Non spécifié,"Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-methodes-recrutement-huir---lhopital-universitaire-international-de-rabat-rabat-183711.html,2.0
Technical Sales Engineer,SGS Maroc SA,Mohammedia,"Pétrole, Gaz",CDI,Bac+5,3 à 5 ans,Excel,"Français, Anglais","Communication, Esprit d'équipe, Autonomie, Autonomie, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-technical-sales-engineer-recrutement-sgs-maroc-sa-mohammedia-183080.html,4.0
Ingénieur Production,Confidentiel,Meknès,"Métallurgie, Sidérurgie",CDI,Bac+5,1 à 3 ans,"Lean, Lean manufacturing, Excel","Français, Anglais","Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-production-recrutement-confidentiel-meknes-183484.html,2.0
Agent méthodes Maintenance,Ciments du Maroc,Agadir,"Electro-mécanique, Mécanique",CDI,Bac+3,3 à 5 ans,"SOLIDWORKS, Autocad, CAO, GMAO, SAP, ERP, Excel","Français, Anglais, Arabe","Travail en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Adaptabilité, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-agent-methodes-maintenance-recrutement-ciments-du-maroc-agadir-183351.html,4.0
Inspecteur,SGS Maroc SA,Nador,"Extraction, Minier",CDI,Bac+3,3 à 5 ans,"ERP, Excel","Français, Anglais","Communication, Travail en équipe, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-inspecteur-recrutement-sgs-maroc-sa-nador-183343.html,4.0
Ingénieur Travaux  F/H,VINCI Energies Afrique de l'Ouest,Casablanca,Energie,CDI,Bac+5,1 à 3 ans,Excel,Non spécifié,"Communication, Communication, Travail en équipe, Travail en équipe, Autonomie, Rigueur, Gestion de projet",https://www.rekrute.com/fr/offre-emploi-ingenieur-travaux-fh-recrutement-vinci-energies-afrique-de-louest-casablanca-183217.html,2.0
Formateur Technique Automobile (H/F),Jameel Motors,Casablanca,"Automobile, Motos, Cycles",CDI,Bac+2,3 à 5 ans,"ERP, Excel","Français, Anglais, Arabe","Communication, Autonomie, Organisation, Innovation, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-formateur-technique-automobile-hf-recrutement-jameel-motors-casablanca-183096.html,4.0
Ingénieur Maintenance Matériels roulants,Aya Gold & Silver,Taliouine,"Extraction, Minier",CDI,Bac+5,1 à 3 ans,"GMAO, AMDEC, Lean, Excel",Non spécifié,"Communication, Esprit d'équipe, Autonomie, Rigueur, Organisation, Résolution de problèmes, Force de proposition, Sens de l'organisation, Réactivité, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-maintenance-materiels-roulants-recrutement-aya-gold-silver-taliouine---askaoun-183125.html,2.0
Responsable Procédés Spéciaux,Structural Aerospace Morocco (AVIAGROUP),Nouaceur,"Aéronautique, Spatial",CDI,Bac+5,3 à 5 ans,"ERP, Excel",Anglais,"Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-responsable-procedes-speciaux-recrutement-structural-aerospace-morocco-aviagroup-nouaceur-183090.html,4.0
Responsable UAP,Safran Nacelles,Casablanca,"Aéronautique, Spatial",CDI,Bac+5,5 à 10 ans,"SAP, Excel","Français, Anglais","Communication, Travail en équipe, Autonomie, Autonomie, Rigueur, Organisation, Créativité, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-uap-recrutement-safran-nacelles-casablanca-183009.html,7.5
Danone Operation Future Leaders Program,Centrale Danone,Non spécifié,Agroalimentaire,CDI,Bac+5,0 an,Non spécifié,Anglais,"Travail en équipe, Rigueur, Organisation, Créativité, Leadership, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-danone-operation-future-leaders-program-recrutement-centrale-danone-maroc-182937.html,0.0
Ingénieur (e) Conception & Rétroconception,CID,Casablanca,"Construction, Génie Civil",CDI,Bac+5,5 à 10 ans,"CATIA, Creo, NX, CAO, AMDEC, APQP, PPAP",Non spécifié,"Autonomie, Rigueur, Organisation",https://www.rekrute.com/fr/offre-emploi-ingenieur-e-conception-retroconception-recrutement-cid-casablanca-182882.html,7.5
Stage PFE  Qualité,Pratt & Whitney,Nouaceur,"Aéronautique, Spatial",Stage,Bac+5,0 an,Excel,Non spécifié,"Travail en équipe, Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-stage-pfe-qualite-recrutement-pratt-whitney-nouaceur-182874.html,0.0
"Chargé des Moyens Généraux (plomberie, électricité)",AXA Services Maroc,Rabat,Electricité,CDI,Bac+2,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, Travail en équipe, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-charge-des-moyens-generaux-plomberie-electricite-recrutement-axa-services-maroc-rabat-184592.html,4.0
Architecte EE,Akkodis Maroc,Casablanca,"Automobile, Motos, Cycles",CDI,Bac+5,1 à 3 ans,"Robotique, Excel",Non spécifié,"Communication, Organisation, Créativité, Innovation, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-architecte-ee-recrutement-akkodis-maroc-casablanca-184581.html,2.0
Électricien Industriel,Confidentiel,Mohammedia,"Electro-mécanique, Mécanique",Non spécifié,Bac+2,1 à 3 ans,Automatisme,Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Relationnel",https://www.rekrute.com/fr/offre-emploi-electricien-industriel-recrutement-confidentiel-mohammedia-184579.html,2.0
Analyste Réseau,Akwa Group,Casablanca,Informatique,CDI,Bac+4,1 à 3 ans,Excel,Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-analyste-reseau-recrutement-akwa-group-casablanca-184541.html,2.0
Technicien de maintenance réseau informatique débutant,GSM AL MAGHRIB,Casablanca,Informatique,Non spécifié,Bac+2,0 an,Excel,Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Innovation, Proactivité, Relationnel",https://www.rekrute.com/fr/offre-emploi-technicien-de-maintenance-reseau-informatique-debutant-recrutement-gsm-al-maghrib-casablanca-184524.html,0.0
Responsable Moyens Généraux (H/F),Carl Rogers Consulting,Casablanca - maarif,Matériel Médical,CDI,Bac+3,5 à 10 ans,Excel,Non spécifié,"Rigueur, Organisation, Flexibilité, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-moyens-generaux-hf-recrutement-carl-rogers-consulting-casablanca---maarif-184501.html,7.5
Superviseur Maintenance Bâtiment & parc roulant,Groupe Bel,Tanger,Agroalimentaire,CDI,Bac+2,3 à 5 ans,"Autocad, CAO, DAO, Modélisation, ERP, Excel","Français, Anglais","Travail en équipe, Rigueur, Organisation, Gestion de projet, Innovation, Réactivité",https://www.rekrute.com/fr/offre-emploi-superviseur-maintenance-batiment-parc-roulant-recrutement-groupe-bel-tanger-184249.html,4.0
Automaticien,Groupe Bel,Tanger,Agroalimentaire,Non spécifié,Bac+2,0 an,"GMAO, SAP, Automatisme, Robotique, 5S, Excel",Français,"Travail en équipe, Autonomie, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-automaticien-recrutement-groupe-bel-tanger-183204.html,0.0
Frigoriste,Groupe Bel,Tanger,Agroalimentaire,Non spécifié,Bac+2,0 an,"GMAO, SAP, ERP, Automatisme, Excel",Français,"Travail en équipe, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-frigoriste-recrutement-groupe-bel-tanger-183206.html,0.0
Agent Ponts Bascules,Cosumar,Sidi bennour,Agroalimentaire,Non spécifié,Bac+3,0 an,Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-agent-ponts-bascules-recrutement-cosumar-sidi-bennour-184428.html,0.0
Technicien maintenance mécanique,Cosumar,Sidi bennour,Agroalimentaire,Non spécifié,Bac+3,0 an,Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-mecanique-recrutement-cosumar-sidi-bennour-184407.html,0.0
Responsable Parc Auto (H/F),Foods and Goods,Bouskoura,Distribution,CDI,Bac+3,3 à 5 ans,Excel,"Français, Arabe","Travail en équipe, Rigueur, Organisation, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-parc-auto-hf-recrutement-foods-and-goods-bouskoura-184398.html,4.0
Responsable Maintenance Véhicules – Parc,Confidentiel,Mohammedia,"Automobile, Motos, Cycles",CDI,Bac+5,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-vehicules-parc-recrutement-confidentiel-mohammedia-182887.html,4.0
Automaticien,Richbond,Casablanca,Non spécifié,CDI,Bac+2,3 à 5 ans,"GMAO, Automatisme",Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-automaticien-recrutement-richbond-casablanca-chefchaouen-184387.html,4.0
Technicien Maintenance Electrique et Automatisme,Cosumar,Sidi bennour,Agroalimentaire,Non spécifié,Bac+3,0 an,"Automatisme, Excel",Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-electrique-et-automatisme-recrutement-cosumar-sidi-bennour-184381.html,0.0
Chargé Marketing et Qualité,Meski Invest - Riva Industries,Meknès,"Agence pub, Marketing Direct",CDI,Bac+3,1 à 3 ans,Excel,Non spécifié,"Communication, Esprit d'équipe, Autonomie, Rigueur, Organisation, Gestion de projet, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-charge-marketing-et-qualite-recrutement-meski-invest---riva-industries-meknes-184369.html,2.0
électromécanicien,Lesieur Cristal,Casablanca,Agroalimentaire,CDI,Bac+2,1 à 3 ans,"Automatisme, Excel",Non spécifié,"Travail en équipe, Organisation, Créativité, Innovation, Adaptabilité, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-electromecanicien-recrutement-lesieur-cristal-casablanca-184339.html,2.0
Responsable maintenance,Best Biscuits Maroc,Had soualem,Agroalimentaire,CDI,Bac+5,3 à 5 ans,"GMAO, Excel",Non spécifié,"Organisation, Innovation, Polyvalence",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-best-biscuits-maroc-had-soualem-184289.html,4.0
Techniciens de Maintenance (H/F),Auto Hall,Marrakech,"Automobile, Motos, Cycles",CDI,Bac+2,1 à 3 ans,Excel,Non spécifié,"Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-techniciens-de-maintenance-hf-recrutement-auto-hall-marrakech-183748.html,2.0
chargé technique des actifs,Groupe Label'Vie - Carrefour,Skhirat,Agroalimentaire,CDI,Bac+5,1 à 3 ans,DAO,Non spécifié,"Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-charge-technique-des-actifs-recrutement-groupe-labelvie---carrefour-skhirat-183589.html,2.0
Frigoriste (stage de 3 mois),Sothema,Bouskoura,"Pharmacie, Santé",Stage,Bac+3,0 an,Non spécifié,Non spécifié,"Travail en équipe, Travail en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Relationnel, Flexibilité",https://www.rekrute.com/fr/offre-emploi-frigoriste-stage-de-3-mois-recrutement-sothema-bouskoura-184121.html,0.0
Agent/Technicien Outillages,Manpower Agences,Casablanca,"Aéronautique, Spatial",Intérim,Bac+3,3 à 5 ans,Excel,Français,"Rigueur, Organisation, Innovation, Adaptabilité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-agenttechnicien-outillages-recrutement-manpower-agences-casablanca-183792.html,4.0
PROGRAMMEUR MASTERCAM,Akkodis Maroc,Tanger,"Aéronautique, Spatial",CDI,Bac+3,3 à 5 ans,"ERP, Robotique, Excel",Non spécifié,"Communication, Esprit d'équipe, Autonomie, Rigueur, Organisation, Créativité, Innovation, Résolution de problèmes, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-programmeur-mastercam-recrutement-akkodis-maroc-tanger-184060.html,4.0
Technicien maintenance IT/Telecom,APEE - Association pour la Promotion de l’Enseignement d’Excellence,Benguerir,Informatique,CDI,Bac+2,1 à 3 ans,Excel,Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Créativité",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-ittelecom-recrutement-apee---association-pour-la-promotion-de-lenseignement-dexcellence-benguerir-184012.html,2.0
Chargé de Sûreté,ORH Assessment,Nouaceur,Non spécifié,CDD,Bac+3,3 à 5 ans,Non spécifié,Non spécifié,Organisation,https://www.rekrute.com/fr/offre-emploi-charge-de-surete-recrutement-orh-assessment-nouaceur-183929.html,4.0
Responsable Parc Auto (H/F),Confidentiel,Bouskoura,Distribution,CDI,Bac+3,3 à 5 ans,Excel,"Français, Arabe","Travail en équipe, Rigueur, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-parc-auto-hf-recrutement-confidentiel-bouskoura-183924.html,4.0
Ingénieur DevOps (F/H),Sofrecom Maroc,Casablanca,Informatique,CDI,Bac+5,3 à 5 ans,"Python, Excel",Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-devops-fh-recrutement-sofrecom-maroc-casablanca-183888.html,4.0
Quality Assurance Engineer,Air Arabia,Casablanca,"Aéronautique, Spatial",CDI,Bac+3,5 à 10 ans,"NX, ERP, Excel",Anglais,"Communication, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-quality-assurance-engineer-recrutement-air-arabia-casablanca-183876.html,7.5
Chargé(e) de production,Confidentiel,Mohammedia,Electronique,CDI,Bac+3,3 à 5 ans,Excel,Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Relationnel",https://www.rekrute.com/fr/offre-emploi-chargee-de-production-recrutement-confidentiel-mohammedia-184600.html,4.0
Chargé Reproduction et élevage (H/F),Sorec,Marrakech,"Agriculture, Environnement",CDI,Bac+5,5 à 10 ans,Non spécifié,Non spécifié,"Organisation, Innovation, Initiative, Flexibilité, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-charge-reproduction-et-elevage-hf-recrutement-sorec-marrakech-184302.html,7.5
Technicien Audiovisuel (H-F),Sorec,Rabat,Audiovisuel,CDI,Bac+2,1 à 3 ans,Excel,Non spécifié,"Communication, Autonomie, Organisation, Créativité, Innovation, Relationnel, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-technicien-audiovisuel-h-f-recrutement-sorec-rabat-184527.html,2.0
DEMAND & SUPPLY PLANNING,KITEA Group,Casablanca,Distribution,CDI,Bac+5,1 à 3 ans,"SAP, ERP, Excel",Non spécifié,"Communication, Organisation, Créativité, Leadership, Innovation",https://www.rekrute.com/fr/offre-emploi-demand-supply-planning-recrutement-kitea-group-casablanca-184497.html,2.0
ingénieur Fabrication,Groupe Bel,Tanger,Agroalimentaire,CDI,Bac+5,3 à 5 ans,"5S, Lean, Lean manufacturing, Excel","Français, Anglais, Arabe","Communication, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-fabrication-recrutement-groupe-bel-tanger-183106.html,4.0
Packaging Customization Specialist MPD,Manpower Agences,Casablanca,Non spécifié,Non spécifié,Bac+2,0 an,Excel,"Français, Anglais","Travail en équipe, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Résolution de problèmes, Adaptabilité, Relationnel, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-packaging-customization-specialist-mpd-ain-sebaa-contrat-projet-recrutement-manpower-agences-casablanca-182891.html,0.0
Chargé de Pilotage SI - PMO (H/F),BCP TECH,Casablanca,"Banque, Finance",CDI,Bac+5,5 à 10 ans,Non spécifié,Non spécifié,"Travail en équipe, Organisation",https://www.rekrute.com/fr/offre-emploi-charge-de-pilotage-si---pmo-hf-recrutement-bcp-tech-casablanca-184335.html,7.5
Assistant(e) Administration de Production,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac+2,1 à 3 ans,"ERP, Excel",Non spécifié,"Travail en équipe, Rigueur, Organisation, Organisation",https://www.rekrute.com/fr/offre-emploi-assistante-administration-de-production-recrutement-confidentiel-casablanca-184332.html,2.0
techniciens pharmaceutiques en compression et mélange,Manpower Agences,Bouskoura,"Pharmacie, Santé",Non spécifié,Bac+2,1 à 3 ans,Excel,Non spécifié,"Communication, Travail en équipe, Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Résolution de problèmes, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-techniciens-pharmaceutiques-en-compression-et-melange-recrutement-manpower-agences-casablancabouskoura-184318.html,2.0
Chargé de reporting et palnification Call center,AXA Services Maroc,Rabat,Centre d'appels,CDI,Bac+2,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-charge-de-reporting-et-palnification-call-center-recrutement-axa-services-maroc-rabat-184264.html,4.0
Chef de Projet Data & Digital Senior H/F,Sothema,Bouskoura,Informatique,CDI,Bac+5,3 à 5 ans,SQL,Non spécifié,"Communication, Organisation, Créativité, Gestion de projet, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-chef-de-projet-data-digital-senior-hf-recrutement-sothema-bouskoura-184203.html,4.0
Responsable Technique Production Fruits Rouges (H/F),ALH Holding,Agadir,"Agriculture, Environnement",CDI,Bac+5,5 à 10 ans,Excel,Non spécifié,"Autonomie, Rigueur, Organisation, Leadership, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-responsable-technique-production-fruits-rouges-hf-recrutement-alh-holding-agadir-184002.html,7.5
Administrateur Base de Données,BTechnologie,Rabat,Telecom,CDI,Bac+5,3 à 5 ans,"Modélisation, SQL, Excel",Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-administrateur-base-de-donnees-recrutement-btechnologie-rabat-184160.html,4.0
Ingénieur Planification (H/F),Sothema,Bouskoura,"Pharmacie, Santé",CDI,Bac+5,3 à 5 ans,Non spécifié,Non spécifié,"Travail en équipe, Organisation, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-ingenieur-planification-hf-recrutement-sothema-bouskoura-183259.html,4.0
