Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non spécifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Anapec,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
First Plastics recrute des Ingénieurs Commerciaux à Casablanca,First Plastics,Casablanca,Construction,CDI,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Rigueur,https://www.dreamjob.ma/emploi/first-plastics-recrute-des-ingenieurs-commerciaux-a-casablanca/
Ingénieurs maintenance recherchés chez SEBN Bouknadel,Non spécifié,Salé,Automobile,CDI,Non spécifié,5 ans,Automatisme,Non spécifié,"Communication, Organisation, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/ingenieurs-maintenance-recherches-chez-sebn-bouknadel/
Opportunités chez Akkodis Maroc dans l’ingénierie automobile,Non spécifié,Non spécifié,Automobile,Non spécifié,Non spécifié,2 ans,"CAO, CATIA",Non spécifié,"Autonomie, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-chez-akkodis-maroc-dans-lingenierie-automobile/
Offres d’emploi chez Capgemini Engineering en mécanique automobile,Non spécifié,Non spécifié,Automobile,Stage,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais","Communication, Innovation, Organisation, Relationnel, Travailler en équipe",https://www.dreamjob.ma/emploi/offres-demploi-chez-capgemini-engineering-en-mecanique-automobile/
Ingénieurs recherchés par Stellantis à Kénitra,Non spécifié,Kénitra,"Automobile, Logistique",Non spécifié,Bac+5,3 à 5 ans,SAP,"Français, Anglais","Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/ingenieurs-recherches-par-stellantis-a-kenitra/
SEGULA recherche des ingénieurs et techniciens débutants,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Stage,"Bac+2, bac+5",Non spécifié,Non spécifié,Non spécifié,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/segula-recherche-des-ingenieurs-et-techniciens-debutants/
Opportunités chez MTA Morocco pour ingénieurs automobile,Non spécifié,Kénitra,"Automobile, Procédés",Non spécifié,Bac+5,2 ans,"Autocad, CAO, SAP, SOLIDWORKS",Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-chez-mta-morocco-pour-ingenieurs-automobile/
Nouvelle opportunité chez Ciments du Maroc pour ingénieurs juniors,Non spécifié,Non spécifié,Construction,Stage,Non spécifié,0 à 2 ans,CAO,"Français, Anglais","Communication, Innovation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/nouvelle-opportunite-chez-ciments-du-maroc-pour-ingenieurs-juniors/
"Recrutement Procangr, ingénieurs en maintenance recherchés",Non spécifié,Khouribga,Procédés,Non spécifié,Non spécifié,Non spécifié,"Automatisme, Conception mécanique",Non spécifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/recrutement-procangr-ingenieurs-en-maintenance-recherches/
Airbus Atlantic recrute Inspecteurs Qualité et Ingénieur PC&L,Airbus Atlantic,Casablanca,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+2,3 ans,"Excel, SAP, VBA","Français, Anglais","Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/airbus-atlantic-recrute-inspecteurs-qualite-et-ingenieur-pcl/
Recrutement immédiat chez Robobat Maroc pour ingénieurs confirmés,Non spécifié,Casablanca,"Btp, Construction",CDI,Bac+5,Non spécifié,Modélisation,"Français, Anglais","Autonome, Communication, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-immediat-chez-robobat-maroc-pour-ingenieurs-confirmes/
Procangr recrute des ingénieurs et techniciens à Khouribga et Benguerir,Procangr,Khouribga,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/procangr-recrute-des-ingenieurs-et-techniciens-a-khouribga-et-benguerir/
FEV North Africa recrute ingénieurs et techniciens en CDI,FEV North Africa,Casablanca,Automobile,CDI,Non spécifié,0 à 2 ans,Non spécifié,"Français, Anglais","Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fev-north-africa-recrute-ingenieurs-et-techniciens-en-cdi/
First Plastics recrute 3 ingénieurs technico-commerciaux à Casablanca,First Plastics,Casablanca,Non spécifié,CDI,Bac+5,Non spécifié,Excel,Non spécifié,"Autonomie, Communication, Initiative, Relationnel",https://www.dreamjob.ma/emploi/first-plastics-recrute-3-ingenieurs-technico-commerciaux-a-casablanca/
SEGULA Technologies recrute des ingénieurs SLI à Casablanca,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,Non spécifié,AMDEC,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-ingenieurs-sli-a-casablanca/
Ingénieurs automobile – Bertrandt recrute dès maintenant,Ingénieurs automobile – Bertrandt,Non spécifié,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+5,Non spécifié,CATIA,Anglais,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/ingenieurs-automobile-bertrandt-recrute-des-maintenant/
SCIF recrute – opportunités en maintenance et ingénierie,SCIF,Non spécifié,Construction,Non spécifié,Bac+5,5 ans,"Autocad, Excel, Ms project",Non spécifié,"Communication, Gestion de projet, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/scif-recrute-opportunites-en-maintenance-et-ingenierie/
Akwel El Jadida recrute des ingénieurs en production et maintenance,Akwel El Jadida,El Jadida,"Automobile, Logistique",CDI,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi/akwel-el-jadida-recrute-des-ingenieurs-en-production-et-maintenance/
SEGULA Technologies lance un recrutement pour concepteurs mécaniques,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,2 à 3 ans,"CAO, CATIA, Conception mécanique, Modélisation",Anglais,"Communication, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/segula-technologies-lance-un-recrutement-pour-concepteurs-mecaniques/
"La CAC recrute ingénieurs, comptables, chefs de projet et plus !",La CAC,Casablanca,Automobile,CDI,"Bac+2, bac+3, bac+5",70 ans,Non spécifié,Non spécifié,"Communication, Gestion de projet, Innovation",https://www.dreamjob.ma/emploi/la-cac-recrute-ingenieurs-comptables-chefs-de-projet-et-plus/
"Mubea Maroc recrute techniciens, ingénieurs et plus – postulez dès aujourd’hui !",Mubea Maroc,Tanger,"Automobile, Procédés",CDI,Non spécifié,1 à 2 ans,Robotique,Non spécifié,"Autonomie, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/mubea-maroc-recrute-techniciens-ingenieurs-et-plus-postulez-des-aujourdhui/
Sulimet ouvre des opportunités pour ingénieurs et RH expérimentés,Sulimet,Tanger,Automobile,Non spécifié,Non spécifié,28 ans,Conception mécanique,Anglais,"Communication, Gestion de projet, Organisé",https://www.dreamjob.ma/emploi/sulimet-ouvre-des-opportunites-pour-ingenieurs-et-rh-experimentes/
Claes Médical Service recrute des techniciens et ingénieurs en biomédical à Bouskoura,Claes Médical Service,Bouskoura,Non spécifié,CDI,Non spécifié,35 an,Non spécifié,Non spécifié,Résolution de problèmes,https://www.dreamjob.ma/emploi/claes-medical-service-recrute-des-techniciens-et-ingenieurs-en-biomedical-a-bouskoura/
"Ingénieurs, commerciaux, responsables maintenance… plusieurs postes ouverts chez Sonasid",Non spécifié,Non spécifié,Construction,CDI,"Bac+4, bac+5",50 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/ingenieurs-commerciaux-responsables-maintenance-plusieurs-postes-ouverts-chez-sonasid/
SEGULA Technologies recrute à Casablanca: des ingénieurs recherchés,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire",CDI,Non spécifié,3 ans,AMDEC,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/segula-technologies-recrute-a-casablanca-des-ingenieurs-recherches/
Rejoignez Akkodis: offres en conception mécanique industrielle à pourvoir,Non spécifié,Non spécifié,"Automobile, Aéronautique, Énergie",Non spécifié,Non spécifié,2 ans,"CATIA, Conception mécanique, Robotique",Français,"Autonomie, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/rejoignez-akkodis-offres-en-conception-mecanique-industrielle-a-pourvoir/
SEBN Maroc recrute des Responsables Ingénierie de Produit,SEBN Maroc,Non spécifié,Automobile,Non spécifié,Non spécifié,5 ans,Non spécifié,"Français, Anglais","Innovation, Rigueur",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-des-responsables-ingenierie-de-produit/
CAPEP recrute des ingénieurs débutants pour des postes d’Acheteurs,CAPEP,Non spécifié,"Btp, Logistique",Non spécifié,Bac+5,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi/capep-recrute-des-ingenieurs-debutants-pour-des-postes-dacheteurs/
Ingénieur ou expert digital ? RMA vous ouvre ses portes à Casablanca,Ingénieur ou expert digital ? RMA vous,Casablanca,Non spécifié,Non spécifié,Bac+5,3 à 5 ans,Non spécifié,Non spécifié,"Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/ingenieur-ou-expert-digital-rma-vous-ouvre-ses-portes-a-casablanca/
"JESA lance une vaste campagne de recrutement: Architecte, Ingénieur, Manager…",Non spécifié,Non spécifié,"Construction, Logistique",Non spécifié,"Bac+2, bac+4",10 ans,Non spécifié,Non spécifié,Gestion de projet,https://www.dreamjob.ma/emploi/jesa-lance-une-vaste-campagne-de-recrutement-architecte-ingenieur-manager/
Delta Holding recrute des Ingénieurs Juniors dans 10 spécialités,Delta Holding,Non spécifié,"Logistique, Métallurgie, Procédés, Énergie",Stage,Non spécifié,40 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/delta-holding-recrute-des-ingenieurs-juniors-dans-10-specialites/
SMT recrute des Ingénieurs Technico-Commerciaux au Maroc,SMT,Non spécifié,"Btp, Construction",Non spécifié,"Bac+3, bac+5",Non spécifié,Non spécifié,Non spécifié,"Innovation, Proactivité",https://www.dreamjob.ma/emploi/smt-recrute-des-ingenieurs-technico-commerciaux-au-maroc/
SEGULA Technologies recrute des concepteurs mécaniques à Casablanca,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,2 à 3 ans,"CATIA, Conception mécanique, Modélisation",Anglais,"Communication, Créativité, Innovation",https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-concepteurs-mecaniques-a-casablanca/
Offres d’emploi chez SEGULA: techniciens en mécanique recherchés,Non spécifié,Tanger,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,"Bac+2, bac+3",Non spécifié,Non spécifié,Français,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-chez-segula-techniciens-en-mecanique-recherches-2/
"Sonasid embauche: ingénieurs, managers et responsables maintenance",Non spécifié,Jorf Lasfar,"Btp, Construction",Non spécifié,"Bac+4, bac+5",50 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/sonasid-embauche-ingenieurs-managers-et-responsables-maintenance/
Aptiv Maroc recrute: ingénieurs et techniciens pour l’industrie automobile,Aptiv Maroc,Non spécifié,"Automobile, Procédés",Non spécifié,"Bac+2, bac+5",1 an,"Automatisme, Robotique","Français, Anglais","Communication, Gestion de projet, Innovation, Leadership, Résolution de problèmes",https://www.dreamjob.ma/emploi/aptiv-maroc-recrute-ingenieurs-et-techniciens-pour-lindustrie-automobile/
Rejoignez un leader industriel: LafargeHolcim Maroc recrute plusieurs ingénieurs,Rejoignez un leader industriel: LafargeHolcim Maroc,Non spécifié,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/rejoignez-un-leader-industriel-lafargeholcim-maroc-recrute-plusieurs-ingenieurs/
"Safran Maroc recrute: acheteur, technicien et ingénieur à Casablanca et Rabat",Safran Maroc,Casablanca,"Automobile, Aéronautique",Non spécifié,Bac+5,7 ans,"CATIA, ERP, Excel, Modélisation, Python, RDM, VBA","Français, Anglais","Adaptabilité, Autonomie, Communication, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/safran-maroc-recrute-acheteur-technicien-et-ingenieur-a-casablanca-et-rabat/
BTP CONSULTING recrute à Tétouan: 11 postes d’ingénieurs à pourvoir,BTP CONSULTING,Tétouan,"Btp, Procédés",CDI,Non spécifié,2 ans,Autocad,Non spécifié,Autonome,https://www.dreamjob.ma/emploi/btp-consulting-recrute-a-tetouan-11-postes-dingenieurs-a-pourvoir/
CIMAT vous ouvre ses portes: offres pour jeunes ingénieurs à pourvoir,CIMAT vous,Non spécifié,"Construction, Logistique, Procédés",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Créativité, Innovation, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/cimat-vous-ouvre-ses-portes-offres-pour-jeunes-ingenieurs-a-pourvoir/
"AVANTA Maroc recrute pour Abu Dhabi: superviseurs, ingénieurs et chefs de projet",AVANTA Maroc,Non spécifié,Logistique,Intérim,Non spécifié,3 ans,"ANSYS, CAO, Creo, GMAO, Lean, SAP, Six sigma",Arabe,"Gestion de projet, Rigueur",https://www.dreamjob.ma/emploi-international/avanta-maroc-recrute-pour-abu-dhabi-superviseurs-ingenieurs-et-chefs-de-projet/
"Ingénierie, qualité, supply chain: TE Connectivity propose des opportunités variées à Tanger",Non spécifié,Tanger,"Automobile, Aéronautique, Énergie",CDI,Non spécifié,2 ans,"APQP, ERP, PPAP, SAP, SPC","Français, Anglais","Autonome, Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/ingenierie-qualite-supply-chain-te-connectivity-propose-des-opportunites-variees-a-tanger/
SIDEN recrute: 8 postes à saisir dans la construction métallique et l’ingénierie au Maroc,SIDEN,Non spécifié,Construction,Non spécifié,Bac+2,Non spécifié,"Autocad, CAO, SOLIDWORKS",Non spécifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/siden-recrute-8-postes-a-saisir-dans-la-construction-metallique-et-lingenierie-au-maroc/
Managem recrute: opportunités pour jeunes diplômés en maintenance mécanique,Managem,Taroudant,Minier,Stage,Bac+2,90 ans,GMAO,Non spécifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/managem-recrute-opportunites-pour-jeunes-diplomes-en-maintenance-mecanique/
"Proma Group recrute à Kénitra: ingénieur, comptable, stagiaires… plusieurs postes ouverts !",Proma Group,Kénitra,Automobile,Stage,"Bac+2, bac+3, bac+5",5 ans,"SAP, SQL",Anglais,Innovation,https://www.dreamjob.ma/emploi/proma-group-recrute-a-kenitra-ingenieur-comptable-stagiaires-plusieurs-postes-ouverts/
Offres d’emploi chez SEGULA: techniciens en mécanique recherchés,Non spécifié,Non spécifié,"Automobile, Aéronautique, Ferroviaire, Naval, Procédés, Énergie",Anapec,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-chez-segula-techniciens-en-mecanique-recherches/
"Auditeur, Commercial, Ingénieur: SNEP cherche des talents","Auditeur, Commercial, Ingénieur: SNEP",Non spécifié,Non spécifié,Non spécifié,Non spécifié,5 ans,Non spécifié,Non spécifié,Rigueur,https://www.dreamjob.ma/emploi/auditeur-commercial-ingenieur-snep-cherche-des-talents/
Nouvelle usine à Tanger: SKF crée 60 emplois dans l’électromécanique de haute performance,Non spécifié,Tanger,"Automobile, Aéronautique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/news/nouvelle-usine-a-tanger-skf-cree-60-emplois-dans-lelectromecanique-de-haute-performance/
Smart Composite Company recrute 3 ingénieurs juniors pour ses chantiers à El Jadida,Smart Composite Company,El Jadida,"Agroalimentaire, Chimie, Procédés",Stage,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Initiative, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/smart-composite-company-recrute-3-ingenieurs-juniors-pour-ses-chantiers-a-el-jadida/
Concours 2025: Rejoignez l’Agence du Bassin Hydraulique – ingénieur et technicien recherchés,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,18 à 45 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-2025-rejoignez-lagence-du-bassin-hydraulique-ingenieur-et-technicien-recherches/
Ingénieur ou commercial? Deux postes clés à pourvoir chez International Paper Casablanca,Non spécifié,Casablanca,Procédés,Non spécifié,Bac+5,2 ans,"Lean, Six sigma","Français, Anglais",Rigueur,https://www.dreamjob.ma/emploi/ingenieur-ou-commercial-deux-postes-cles-a-pourvoir-chez-international-paper-casablanca/
"OFPPT recrute: 72 postes ouverts dans l’automobile, la gestion et le génie civil",OFPPT,Non spécifié,"Automobile, Btp, Logistique",Stage,Non spécifié,4 ans,Non spécifié,"Français, Arabe",Communication,https://www.dreamjob.ma/emploi-public/ofppt-recrute-72-postes-ouverts-dans-lautomobile-la-gestion-et-le-genie-civil/
SEI Casablanca recrute des Dessinateurs Projeteurs Mécaniques confirmés,SEI Casablanca,Casablanca,Non spécifié,CDI,Bac+2,Non spécifié,"Autocad, CAO, CATIA, Conception mécanique, DAO, SOLIDWORKS",Non spécifié,"Autonomie, Gestion de projet, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/sei-casablanca-recrute-des-dessinateurs-projeteurs-mecaniques-confirmes/
SERIFF recrute à Safi: postes de techniciens en mécanique et électricité,SERIFF,Safi,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Rigueur",https://www.dreamjob.ma/emploi/seriff-recrute-a-safi-postes-de-techniciens-en-mecanique-et-electricite/
CEC recrute: 4 postes clés ouverts dans l’ingénierie et les projets industriels,CEC,Non spécifié,Énergie,Non spécifié,Non spécifié,5 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/cec-recrute-4-postes-cles-ouverts-dans-lingenierie-et-les-projets-industriels/
